step,tokens,lr,train_loss,eval_loss,eval_c4,eval_cc,eval_books,eval_wiki,eval_arxiv,seconds
0,0,0,,3.30754,3.24795,3.43997,3.25545,3.16989,3.42442,3.3
50,1638400,1.000e-04,3.33374,3.14293,3.18420,3.39257,2.88942,3.13753,3.11092,81.1
100,3276800,1.000e-04,3.23407,3.11826,3.18020,3.38423,2.84295,3.12916,3.05479,157.5
150,4915200,1.000e-04,3.19681,3.10576,3.17425,3.37844,2.84087,3.12424,3.01099,233.8
200,6553600,1.000e-04,3.18330,3.09463,3.16825,3.37470,2.82820,3.11492,2.98706,310.2
250,8192000,1.000e-04,3.17768,3.09733,3.17581,3.37755,2.82645,3.12550,2.98134,386.6
300,9830400,1.000e-04,3.17406,3.08753,3.17164,3.37390,2.81724,3.11554,2.95935,463.0
350,11468800,1.000e-04,3.16257,3.08674,3.16822,3.37546,2.80698,3.12416,2.95888,539.4
400,13107200,1.000e-04,3.16078,3.08079,3.16492,3.37076,2.80570,3.12186,2.94069,615.8
450,14745600,1.000e-04,3.15602,3.08029,3.17017,3.37599,2.80239,3.12326,2.92964,692.2
500,16384000,8.417e-05,3.15733,3.07887,3.16805,3.37283,2.80589,3.12320,2.92438,768.6
550,18022400,4.250e-05,3.12624,3.06983,3.16450,3.36844,2.79512,3.11512,2.90595,845.0
600,19660800,8.333e-07,3.11394,3.06651,3.16224,3.36548,2.79039,3.11120,2.90321,925.5
