step,tokens,lr,train_loss,eval_loss,eval_c4,eval_cc,eval_books,eval_wiki,eval_arxiv,seconds
0,0,0,,3.30754,3.24795,3.43997,3.25545,3.16989,3.42442,3.2
50,1638400,1.000e-04,3.41070,3.17507,3.21142,3.42016,2.91071,3.15553,3.17752,85.0
100,3276800,1.000e-04,3.27122,3.13448,3.18795,3.39394,2.86522,3.13486,3.09040,165.6
150,4915200,1.000e-04,3.21459,3.11243,3.17353,3.37677,2.84995,3.12588,3.03603,245.8
200,6553600,1.000e-04,3.19258,3.10260,3.17338,3.37502,2.84017,3.11903,3.00538,325.9
250,8192000,1.000e-04,3.18137,3.09294,3.16914,3.37119,2.82631,3.11995,2.97810,406.1
300,9830400,1.000e-04,3.17352,3.08540,3.16466,3.37051,2.81387,3.11548,2.96247,486.3
350,11468800,1.000e-04,3.15935,3.08079,3.16227,3.37095,2.80297,3.11548,2.95226,566.5
400,13107200,1.000e-04,3.15675,3.07621,3.16187,3.36982,2.79880,3.11743,2.93314,646.7
450,14745600,1.000e-04,3.15050,3.07347,3.16276,3.37147,2.79612,3.11457,2.92244,726.8
500,16384000,8.417e-05,3.15141,3.07086,3.16318,3.36925,2.79585,3.11440,2.91163,807.0
550,18022400,4.250e-05,3.12107,3.06752,3.16109,3.36857,2.79197,3.11103,2.90492,887.2
600,19660800,8.333e-07,3.11182,3.06485,3.15926,3.36606,2.78895,3.10843,2.90156,967.5
