step,tokens,lr,train_loss,eval_loss,eval_c4,eval_cc,eval_books,eval_wiki,eval_arxiv,seconds
0,0,0,,3.30754,3.24795,3.43997,3.25545,3.16989,3.42442,3.2
50,1638400,1.000e-05,3.42563,3.19091,3.21663,3.42465,2.92595,3.15225,3.23504,80.6
100,3276800,1.000e-05,3.31117,3.15507,3.19198,3.39941,2.88474,3.13405,3.16516,156.7
150,4915200,1.000e-05,3.26016,3.13674,3.18207,3.38537,2.86932,3.12679,3.12014,232.9
200,6553600,1.000e-05,3.23816,3.12389,3.17550,3.37858,2.85789,3.12146,3.08601,308.9
250,8192000,1.000e-05,3.22549,3.11383,3.17077,3.37407,2.84459,3.11983,3.05989,384.9
300,9830400,1.000e-05,3.21592,3.10500,3.16860,3.37097,2.83254,3.11456,3.03833,460.8
350,11468800,1.000e-05,3.20061,3.09720,3.16395,3.36880,2.82095,3.11164,3.02065,536.7
400,13107200,1.000e-05,3.19856,3.09164,3.16203,3.36777,2.81468,3.11108,3.00263,612.6
450,14745600,1.000e-05,3.18957,3.08721,3.15906,3.36696,2.81014,3.10928,2.99060,688.6
500,16384000,8.417e-06,3.18886,3.08407,3.15757,3.36523,2.80801,3.10809,2.98148,764.5
550,18022400,4.250e-06,3.16272,3.08078,3.15691,3.36418,2.80480,3.10535,2.97266,840.4
600,19660800,8.333e-08,3.15388,3.07917,3.15644,3.36266,2.80309,3.10443,2.96925,916.4
