step,tokens,lr,train_loss,eval_loss,eval_c4,eval_cc,eval_books,eval_wiki,eval_arxiv,seconds
0,0,0,,3.30754,3.24795,3.43997,3.25545,3.16989,3.42442,3.4
50,1638400,1.000e-04,3.41227,3.17577,3.21215,3.41932,2.91682,3.15449,3.17606,85.0
100,3276800,1.000e-04,3.27144,3.13446,3.18803,3.39672,2.86502,3.13196,3.09056,165.2
150,4915200,1.000e-04,3.21535,3.11296,3.17547,3.37994,2.84869,3.12602,3.03469,245.1
200,6553600,1.000e-04,3.19335,3.10304,3.17377,3.37643,2.83968,3.11910,3.00622,325.0
250,8192000,1.000e-04,3.18285,3.09301,3.16944,3.37254,2.82628,3.11764,2.97916,404.9
300,9830400,1.000e-04,3.17555,3.08534,3.16516,3.37071,2.81465,3.11263,2.96355,484.9
350,11468800,1.000e-04,3.16179,3.08199,3.16207,3.37094,2.80501,3.11505,2.95686,564.7
400,13107200,1.000e-04,3.15969,3.07703,3.16065,3.37031,2.80081,3.11608,2.93729,644.6
450,14745600,1.000e-04,3.15361,3.07429,3.16142,3.37066,2.79734,3.11360,2.92841,724.4
500,16384000,8.417e-05,3.15465,3.07131,3.16166,3.36827,2.79811,3.11268,2.91582,804.3
550,18022400,4.250e-05,3.12507,3.06772,3.15918,3.36803,2.79245,3.11004,2.90888,884.1
600,19660800,8.333e-07,3.11535,3.06521,3.15801,3.36569,2.78910,3.10848,2.90477,963.9
