step,tokens,lr,train_loss,eval_mix,eval_indist,seconds,opt_seconds
1,65536,1.000e-05,10.7453,10.6500,10.6063,2.4,0.1
100,6553600,1.000e-03,7.3192,7.0859,6.0087,87.9,3.9
200,13107200,2.000e-03,5.6220,6.5396,5.3798,183.5,7.8
300,19660800,2.000e-03,5.1889,6.1778,5.0193,282.9,11.6
400,26214400,2.000e-03,4.8883,5.8865,4.7912,382.7,15.4
500,32768000,2.000e-03,4.6982,5.6045,4.6348,483.6,19.2
600,39321600,2.000e-03,4.5292,5.2243,4.4520,584.8,23.0
700,45875200,2.000e-03,4.3926,5.0342,4.3446,686.3,26.9
800,52428800,2.000e-03,4.2715,4.8425,4.2630,788.0,30.7
900,58982400,2.000e-03,4.2048,4.6857,4.1840,889.9,34.5
1000,65536000,2.000e-03,4.1281,4.6311,4.1323,991.8,38.4
1100,72089600,2.000e-03,4.0949,4.5305,4.0942,1093.9,42.2
1200,78643200,2.000e-03,4.0503,4.5276,4.0635,1195.4,46.0
1300,85196800,2.000e-03,3.9989,4.4886,4.0245,1297.2,49.7
1400,91750400,2.000e-03,3.9831,4.4259,3.9939,1398.4,53.5
1500,98304000,2.000e-03,3.9442,4.3457,3.9663,1500.3,57.3
1600,104857600,2.000e-03,3.9233,4.3198,3.9449,1602.0,61.0
1700,111411200,1.505e-03,3.8928,4.2630,3.8901,1704.0,64.8
1800,117964800,1.005e-03,3.8244,4.1769,3.8297,1805.8,68.6
1900,124518400,5.050e-04,3.7772,4.1070,3.7753,1907.5,72.4
2000,131072000,5.000e-06,3.7245,4.0501,3.7077,2014.2,76.2
