step,tokens,lr,train_loss,eval_mix,eval_indist,seconds,opt_seconds
1,65536,5.000e-06,10.7453,10.7344,10.7285,2.5,0.2
100,6553600,5.000e-04,8.0412,7.1135,6.1589,90.5,7.9
200,13107200,1.000e-03,5.7026,6.4945,5.3741,180.8,15.7
300,19660800,1.000e-03,5.1128,6.0776,4.9214,271.0,23.3
400,26214400,1.000e-03,4.7809,5.7820,4.6913,361.2,31.0
500,32768000,1.000e-03,4.6037,5.5406,4.5481,451.6,38.7
600,39321600,1.000e-03,4.4670,5.3154,4.4192,542.0,46.4
700,45875200,1.000e-03,4.3590,5.0676,4.3010,632.4,54.1
800,52428800,1.000e-03,4.2283,4.8413,4.2062,723.0,61.8
900,58982400,1.000e-03,4.1464,4.6539,4.1255,813.5,69.4
1000,65536000,1.000e-03,4.0640,4.5617,4.0678,904.1,77.2
1100,72089600,1.000e-03,4.0244,4.4676,4.0244,994.4,84.7
1200,78643200,1.000e-03,3.9769,4.4088,3.9819,1084.7,92.3
1300,85196800,1.000e-03,3.9221,4.3579,3.9465,1175.0,99.9
1400,91750400,1.000e-03,3.9058,4.3131,3.9177,1265.5,107.5
1500,98304000,1.000e-03,3.8685,4.2647,3.8916,1355.9,115.2
1600,104857600,1.000e-03,3.8454,4.2248,3.8676,1446.4,122.8
1700,111411200,7.525e-04,3.8217,4.1917,3.8292,1536.9,130.4
1800,117964800,5.025e-04,3.7733,4.1371,3.7898,1627.3,138.1
1900,124518400,2.525e-04,3.7479,4.0960,3.7534,1717.8,145.8
2000,131072000,2.500e-06,3.7138,4.0594,3.7045,1811.8,153.5
