step,tokens,lr,train_loss,eval_mix,eval_indist,seconds,opt_seconds
1,65536,3.000e-06,10.7453,10.7103,10.6929,2.5,0.1
100,6553600,3.000e-04,8.0765,7.7622,6.7066,100.4,3.7
200,13107200,6.000e-04,6.3050,7.1158,5.9940,201.7,7.3
300,19660800,6.000e-04,5.7859,6.8161,5.6245,301.7,10.8
400,26214400,6.000e-04,5.4768,6.5717,5.3718,398.9,14.3
500,32768000,6.000e-04,5.2610,6.3850,5.1867,493.6,17.8
600,39321600,6.000e-04,5.0937,6.2015,5.0292,587.2,21.4
700,45875200,6.000e-04,4.9717,6.0287,4.9053,680.2,24.9
800,52428800,6.000e-04,4.8426,5.9127,4.8043,772.9,28.4
900,58982400,6.000e-04,4.7540,5.8106,4.7071,865.4,31.9
1000,65536000,6.000e-04,4.6587,5.7154,4.6282,957.5,35.4
1100,72089600,6.000e-04,4.5958,5.6323,4.5622,1050.0,39.0
1200,78643200,6.000e-04,4.5311,5.5794,4.4983,1142.2,42.5
1300,85196800,6.000e-04,4.4614,5.5208,4.4487,1234.4,46.0
1400,91750400,6.000e-04,4.4264,5.4492,4.4010,1326.6,49.6
1500,98304000,6.000e-04,4.3657,5.3546,4.3553,1418.8,53.1
1600,104857600,6.000e-04,4.3171,5.2688,4.3025,1511.1,56.6
1700,111411200,4.515e-04,4.2768,5.1499,4.2461,1603.3,60.1
1800,117964800,3.015e-04,4.1966,5.0121,4.1785,1695.4,63.6
1900,124518400,1.515e-04,4.1400,4.8914,4.1133,1787.6,67.2
2000,131072000,1.500e-06,4.0837,4.8810,4.0668,1883.7,70.7
