step,tokens,lr,train_loss,eval_mix,eval_indist,seconds,opt_seconds
1,65536,1.000e-05,10.7453,10.7321,10.7253,2.6,0.3
100,6553600,1.000e-03,7.4692,6.8746,5.8476,92.6,9.4
200,13107200,2.000e-03,5.4063,6.2234,5.0931,182.8,16.9
300,19660800,2.000e-03,4.8869,5.7765,4.7214,273.0,24.4
400,26214400,2.000e-03,4.5828,5.3080,4.4773,363.2,32.1
500,32768000,2.000e-03,4.3392,4.8314,4.2810,454.8,41.4
600,39321600,2.000e-03,4.1859,4.6334,4.1656,546.8,50.9
700,45875200,2.000e-03,4.1103,4.5116,4.0929,639.4,60.3
800,52428800,2.000e-03,4.0334,4.4167,4.0368,731.2,69.8
900,58982400,2.000e-03,3.9912,4.3414,3.9891,823.5,79.6
1000,65536000,2.000e-03,3.9330,4.3202,3.9517,915.9,89.4
1100,72089600,2.000e-03,3.9153,4.2539,3.9241,1008.1,99.1
1200,78643200,2.000e-03,3.8813,4.2259,3.8925,1098.9,107.1
1300,85196800,2.000e-03,3.8383,4.2050,3.8664,1189.7,115.5
1400,91750400,2.000e-03,3.8313,4.1696,3.8458,1281.9,125.2
1500,98304000,2.000e-03,3.8017,4.1463,3.8252,1374.2,135.0
1600,104857600,2.000e-03,3.7856,4.1155,3.8076,1466.6,144.7
1700,111411200,1.505e-03,3.7608,4.0665,3.7666,1558.8,154.5
1800,117964800,1.005e-03,3.7009,3.9892,3.7111,1650.7,163.7
1900,124518400,5.050e-04,3.6589,3.9293,3.6585,1743.0,173.6
2000,131072000,5.000e-06,3.6120,3.8766,3.5961,1837.2,181.7
