step,tokens,lr,train_loss,eval_mix,eval_indist,seconds,opt_seconds
1,65536,1.000e-05,10.7453,10.7321,10.7253,2.5,0.2
100,6553600,1.000e-03,7.4740,6.8821,5.8519,92.8,8.0
200,13107200,2.000e-03,5.4153,6.2183,5.0991,192.8,16.1
300,19660800,2.000e-03,4.8976,5.8029,4.7415,295.9,24.1
400,26214400,2.000e-03,4.6138,5.4670,4.5279,400.5,32.3
500,32768000,2.000e-03,4.4119,5.0042,4.3347,506.1,40.5
600,39321600,2.000e-03,4.2344,4.7276,4.2067,611.7,48.7
700,45875200,2.000e-03,4.1463,4.5972,4.1230,718.2,56.9
800,52428800,2.000e-03,4.0622,4.4852,4.0614,824.2,65.2
900,58982400,2.000e-03,4.0146,4.3877,4.0091,930.5,73.4
1000,65536000,2.000e-03,3.9523,4.3714,3.9691,1037.7,81.6
1100,72089600,2.000e-03,3.9330,4.2944,3.9378,1144.2,89.8
1200,78643200,2.000e-03,3.8965,4.2619,3.9072,1251.4,98.2
1300,85196800,2.000e-03,3.8513,4.2315,3.8805,1357.9,106.5
1400,91750400,2.000e-03,3.8425,4.2030,3.8559,1465.3,114.8
1500,98304000,2.000e-03,3.8120,4.1636,3.8331,1572.0,123.0
1600,104857600,2.000e-03,3.7936,4.1447,3.8160,1678.7,131.2
1700,111411200,1.505e-03,3.7698,4.0830,3.7721,1785.5,139.5
1800,117964800,1.005e-03,3.7153,4.0264,3.7244,1893.0,148.0
1900,124518400,5.050e-04,3.6787,3.9761,3.6790,2000.6,156.4
2000,131072000,5.000e-06,3.6373,3.9224,3.6219,2112.0,164.9
