step,tokens,lr,train_loss,eval_mix,eval_indist,seconds,opt_seconds
1,65536,1.000e-05,10.7453,10.7321,10.7253,2.7,0.2
100,6553600,1.000e-03,7.5089,6.9375,5.9087,107.1,8.5
200,13107200,2.000e-03,5.4849,6.3222,5.2042,213.3,16.7
300,19660800,2.000e-03,5.0252,6.0300,4.8897,320.9,25.0
400,26214400,2.000e-03,4.7866,5.8217,4.7222,427.9,33.4
500,32768000,2.000e-03,4.6499,5.6567,4.6081,534.4,41.6
600,39321600,2.000e-03,4.5420,5.5218,4.5088,641.6,50.1
700,45875200,2.000e-03,4.4677,5.3744,4.4272,748.1,58.4
800,52428800,2.000e-03,4.3731,5.2294,4.3504,854.7,66.6
900,58982400,2.000e-03,4.3028,5.0760,4.2693,962.0,75.0
1000,65536000,2.000e-03,4.2106,4.9216,4.1980,1068.8,83.4
1100,72089600,2.000e-03,4.1527,4.7574,4.1394,1175.3,91.6
1200,78643200,2.000e-03,4.0894,4.6412,4.0872,1281.9,99.9
1300,85196800,2.000e-03,4.0233,4.5504,4.0423,1388.8,108.2
1400,91750400,2.000e-03,3.9976,4.4732,4.0062,1496.4,116.6
1500,98304000,2.000e-03,3.9522,4.4189,3.9735,1602.8,124.7
1600,104857600,2.000e-03,3.9224,4.3554,3.9417,1709.8,132.9
1700,111411200,1.505e-03,3.8936,4.3051,3.8992,1816.3,141.2
1800,117964800,1.005e-03,3.8403,4.2406,3.8553,1922.8,149.5
1900,124518400,5.050e-04,3.8095,4.1849,3.8154,2030.3,157.9
2000,131072000,5.000e-06,3.7729,4.1547,3.7611,2141.5,166.3
