step,tokens,lr,train_loss,eval_mix,eval_indist,seconds,opt_seconds
1,65536,1.000e-05,10.7453,10.7321,10.7253,2.7,0.2
100,6553600,1.000e-03,7.4897,6.9069,5.8765,105.5,8.3
200,13107200,2.000e-03,5.4425,6.2790,5.1439,212.3,16.6
300,19660800,2.000e-03,4.9458,5.9195,4.8013,319.0,24.8
400,26214400,2.000e-03,4.6957,5.6848,4.6231,425.3,32.9
500,32768000,2.000e-03,4.5539,5.4717,4.5052,532.9,41.2
600,39321600,2.000e-03,4.4292,5.2286,4.3872,637.1,49.2
700,45875200,2.000e-03,4.3242,4.9785,4.2755,738.5,57.2
800,52428800,2.000e-03,4.2063,4.8097,4.1916,838.2,65.2
900,58982400,2.000e-03,4.1400,4.6624,4.1249,936.5,73.1
1000,65536000,2.000e-03,4.0644,4.5783,4.0726,1034.5,81.0
1100,72089600,2.000e-03,4.0320,4.4905,4.0331,1132.2,88.9
1200,78643200,2.000e-03,3.9870,4.4256,3.9925,1229.6,96.8
1300,85196800,2.000e-03,3.9344,4.3873,3.9604,1327.2,104.7
1400,91750400,2.000e-03,3.9200,4.3447,3.9318,1424.6,112.6
1500,98304000,2.000e-03,3.8835,4.2832,3.9087,1521.7,120.5
1600,104857600,2.000e-03,3.8604,4.2557,3.8797,1618.9,128.3
1700,111411200,1.505e-03,3.8341,4.1929,3.8367,1716.0,136.2
1800,117964800,1.005e-03,3.7804,4.1344,3.7912,1813.3,144.1
1900,124518400,5.050e-04,3.7477,4.0832,3.7502,1910.4,152.0
2000,131072000,5.000e-06,3.7099,4.0459,3.6969,2011.4,159.9
