step,tokens,lr,train_loss,eval_mix,eval_indist,seconds,opt_seconds
1,65536,1.000e-05,10.7453,10.7321,10.7253,2.5,0.2
100,6553600,1.000e-03,7.5132,6.9245,5.9121,91.0,7.8
200,13107200,2.000e-03,5.4921,6.3293,5.1966,181.1,15.4
300,19660800,2.000e-03,4.9943,5.9399,4.8404,271.4,23.0
400,26214400,2.000e-03,4.7209,5.6950,4.6378,361.8,30.7
500,32768000,2.000e-03,4.5567,5.4138,4.4973,452.0,38.3
600,39321600,2.000e-03,4.4018,5.0792,4.3434,542.2,45.9
700,45875200,2.000e-03,4.2669,4.7998,4.2217,632.5,53.5
800,52428800,2.000e-03,4.1442,4.6111,4.1343,722.7,61.0
900,58982400,2.000e-03,4.0768,4.4871,4.0655,812.9,68.5
1000,65536000,2.000e-03,4.0005,4.4106,4.0094,903.1,76.1
1100,72089600,2.000e-03,3.9697,4.3389,3.9730,993.4,83.6
1200,78643200,2.000e-03,3.9264,4.2779,3.9354,1083.6,91.1
1300,85196800,2.000e-03,3.8741,4.2343,3.9010,1173.8,98.7
1400,91750400,2.000e-03,3.8617,4.2020,3.8756,1264.0,106.2
1500,98304000,2.000e-03,3.8273,4.1571,3.8499,1354.3,113.7
1600,104857600,2.000e-03,3.8066,4.1311,3.8266,1444.7,121.3
1700,111411200,1.505e-03,3.7824,4.0906,3.7857,1535.0,128.8
1800,117964800,1.005e-03,3.7294,4.0353,3.7399,1625.4,136.4
1900,124518400,5.050e-04,3.6937,3.9741,3.6936,1715.7,143.9
2000,131072000,5.000e-06,3.6514,3.9283,3.6362,1809.5,151.5
