step,tokens,lr,train_loss,eval_mix,eval_indist,seconds,opt_seconds
1,65536,1.000e-05,10.7453,10.7321,10.7253,2.7,0.3
100,6553600,1.000e-03,7.5894,6.9797,5.9941,107.4,9.6
200,13107200,2.000e-03,5.5944,6.4303,5.3094,215.1,19.2
300,19660800,2.000e-03,5.1202,6.1155,4.9732,322.2,28.6
400,26214400,2.000e-03,4.8666,5.9081,4.7996,430.8,38.1
500,32768000,2.000e-03,4.7296,5.7509,4.6896,538.5,47.7
600,39321600,2.000e-03,4.6312,5.6143,4.5979,646.0,57.2
700,45875200,2.000e-03,4.5645,5.4974,4.5258,753.7,66.7
800,52428800,2.000e-03,4.4773,5.3742,4.4604,862.4,76.5
900,58982400,2.000e-03,4.4160,5.2441,4.3861,969.9,86.0
1000,65536000,2.000e-03,4.3312,5.1107,4.3194,1077.7,95.5
1100,72089600,2.000e-03,4.2764,4.9676,4.2654,1185.3,105.0
1200,78643200,2.000e-03,4.2145,4.8466,4.2127,1292.8,114.5
1300,85196800,2.000e-03,4.1494,4.7517,4.1701,1400.5,123.9
1400,91750400,2.000e-03,4.1226,4.6566,4.1346,1508.3,133.4
1500,98304000,2.000e-03,4.0757,4.5893,4.1009,1615.7,142.7
1600,104857600,2.000e-03,4.0472,4.5225,4.0707,1724.2,152.3
1700,111411200,1.505e-03,4.0168,4.4665,4.0238,1832.1,161.6
1800,117964800,1.005e-03,3.9633,4.4105,3.9812,1940.4,171.0
1900,124518400,5.050e-04,3.9330,4.3529,3.9404,2047.6,180.4
2000,131072000,5.000e-06,3.8962,4.3286,3.8847,2159.9,189.7
