step,tokens,lr,train_loss,eval_mix,eval_indist,seconds,opt_seconds
1,65536,1.000e-05,10.7453,10.7321,10.7253,2.7,0.2
100,6553600,1.000e-03,7.4671,6.8833,5.8457,106.2,9.0
200,13107200,2.000e-03,5.3989,6.2261,5.0889,213.3,18.0
300,19660800,2.000e-03,4.9005,5.8463,4.7533,320.6,27.0
400,26214400,2.000e-03,4.6417,5.5691,4.5633,428.2,35.9
500,32768000,2.000e-03,4.4686,5.1967,4.4060,535.0,44.8
600,39321600,2.000e-03,4.3078,4.9033,4.2685,642.3,53.8
700,45875200,2.000e-03,4.2106,4.7459,4.1801,749.6,62.8
800,52428800,2.000e-03,4.1187,4.6299,4.1170,857.3,71.9
900,58982400,2.000e-03,4.0676,4.5239,4.0607,964.5,80.9
1000,65536000,2.000e-03,4.0051,4.4698,4.0196,1072.6,90.0
1100,72089600,2.000e-03,3.9803,4.3946,3.9859,1179.2,98.9
1200,78643200,2.000e-03,3.9414,4.3476,3.9531,1287.0,107.9
1300,85196800,2.000e-03,3.8960,4.3116,3.9218,1395.4,116.9
1400,91750400,2.000e-03,3.8863,4.2785,3.9016,1503.0,125.8
1500,98304000,2.000e-03,3.8531,4.2360,3.8800,1610.4,134.7
1600,104857600,2.000e-03,3.8340,4.2049,3.8574,1718.5,143.8
1700,111411200,1.505e-03,3.8097,4.1697,3.8151,1825.9,152.7
1800,117964800,1.005e-03,3.7576,4.1038,3.7732,1934.0,161.7
1900,124518400,5.050e-04,3.7253,4.0483,3.7304,2041.9,170.6
2000,131072000,5.000e-06,3.6846,4.0019,3.6714,2153.5,179.6
