step,tokens,lr,train_loss,eval_mix,eval_indist,seconds,opt_seconds
1,65536,1.000e-05,10.7453,10.7330,10.7265,2.5,0.2
100,6553600,1.000e-03,7.6338,7.0097,6.0261,91.0,8.4
200,13107200,2.000e-03,5.6378,6.4516,5.3329,181.8,16.6
300,19660800,2.000e-03,5.0906,6.0419,4.9058,272.6,24.8
400,26214400,2.000e-03,4.7787,5.7467,4.6894,363.5,33.0
500,32768000,2.000e-03,4.6058,5.4629,4.5437,454.4,41.2
600,39321600,2.000e-03,4.4516,5.1258,4.3943,545.3,49.4
700,45875200,2.000e-03,4.3150,4.8500,4.2657,636.3,57.6
800,52428800,2.000e-03,4.1883,4.6571,4.1799,727.2,65.9
900,58982400,2.000e-03,4.1203,4.5381,4.1103,818.2,74.1
1000,65536000,2.000e-03,4.0451,4.4753,4.0568,909.1,82.4
1100,72089600,2.000e-03,4.0130,4.3855,4.0168,1000.1,90.6
1200,78643200,2.000e-03,3.9701,4.3415,3.9812,1091.2,98.8
1300,85196800,2.000e-03,3.9190,4.2960,3.9473,1182.1,107.0
1400,91750400,2.000e-03,3.9041,4.2613,3.9181,1273.1,115.2
1500,98304000,2.000e-03,3.8682,4.2168,3.8957,1364.0,123.5
1600,104857600,2.000e-03,3.8463,4.1851,3.8721,1455.0,131.7
1700,111411200,1.505e-03,3.8217,4.1509,3.8297,1546.0,139.9
1800,117964800,1.005e-03,3.7719,4.0937,3.7884,1637.0,148.1
1900,124518400,5.050e-04,3.7423,4.0397,3.7475,1728.1,156.3
2000,131072000,5.000e-06,3.7048,3.9952,3.6915,1822.6,164.6
