step,tokens,lr,train_loss,eval_mix,eval_indist,seconds,opt_seconds
1,65536,1.000e-05,10.7453,10.7321,10.7253,2.6,0.2
100,6553600,1.000e-03,7.4987,6.9174,5.8820,91.2,8.0
200,13107200,2.000e-03,5.4635,6.2758,5.1828,181.5,15.8
300,19660800,2.000e-03,4.9773,5.8974,4.8196,271.9,23.6
400,26214400,2.000e-03,4.6961,5.4411,4.5930,362.2,31.5
500,32768000,2.000e-03,4.4545,5.0025,4.4174,452.7,39.3
600,39321600,2.000e-03,4.3307,4.7938,4.3246,543.1,47.1
700,45875200,2.000e-03,4.2802,4.7492,4.2786,633.5,54.9
800,52428800,2.000e-03,4.2239,4.6512,4.2338,723.9,62.8
900,58982400,2.000e-03,4.1984,4.6015,4.2076,814.2,70.6
1000,65536000,2.000e-03,4.1559,4.6077,4.1794,904.7,78.5
1100,72089600,2.000e-03,4.1508,4.5415,4.1706,995.2,86.3
1200,78643200,2.000e-03,4.1269,4.5314,4.1403,1085.7,94.1
1300,85196800,2.000e-03,4.0954,4.5368,4.1427,1176.2,102.0
1400,91750400,2.000e-03,4.0944,4.5133,4.1189,1266.5,109.8
1500,98304000,2.000e-03,4.0722,4.4711,4.1087,1357.0,117.6
1600,104857600,2.000e-03,4.0650,4.4865,4.1039,1447.5,125.5
1700,111411200,1.505e-03,4.0368,4.3938,4.0364,1537.9,133.3
1800,117964800,1.005e-03,3.9617,4.2861,3.9644,1628.3,141.2
1900,124518400,5.050e-04,3.8932,4.1911,3.8744,1718.7,149.0
2000,131072000,5.000e-06,3.7991,4.0693,3.7616,1812.6,156.8
