step,tokens,lr,train_loss,eval_mix,eval_indist,seconds,opt_seconds
1,65536,1.000e-05,10.7438,10.6614,10.6420,2.5,0.1
100,6553600,1.000e-03,7.3388,7.1112,6.0045,100.1,3.7
200,13107200,2.000e-03,5.6297,6.5091,5.4012,202.3,7.4
300,19660800,2.000e-03,5.1772,6.1288,4.9964,304.7,11.0
400,26214400,2.000e-03,4.8984,5.8095,4.7662,406.4,14.7
500,32768000,2.000e-03,4.6794,5.5418,4.6064,508.8,18.4
600,39321600,2.000e-03,4.4934,5.1942,4.4332,610.9,22.0
700,45875200,2.000e-03,4.3617,4.9986,4.3246,712.9,25.6
800,52428800,2.000e-03,4.2586,4.8333,4.2529,814.8,29.3
900,58982400,2.000e-03,4.1835,4.7728,4.1871,916.8,32.9
1000,65536000,2.000e-03,4.1311,4.6494,4.1341,1018.3,36.6
1100,72089600,2.000e-03,4.0877,4.5896,4.0885,1121.2,40.2
1200,78643200,2.000e-03,4.0424,4.5145,4.0526,1222.5,43.8
1300,85196800,2.000e-03,4.0044,4.4689,4.0202,1324.1,47.5
1400,91750400,2.000e-03,3.9741,4.4511,3.9906,1426.0,51.1
1500,98304000,2.000e-03,3.9499,4.3688,3.9622,1528.2,55.0
1600,104857600,2.000e-03,3.9284,4.3616,3.9386,1631.3,59.1
1700,111411200,1.505e-03,3.8892,4.2812,3.8804,1734.0,63.0
1800,117964800,1.005e-03,3.8235,4.2102,3.8248,1836.4,67.0
1900,124518400,5.050e-04,3.7633,4.1308,3.7663,1938.9,70.9
2000,131072000,5.000e-06,3.7136,4.0711,3.7066,2045.6,75.0
