step,tokens,lr,train_loss,eval_mix,eval_indist,seconds,opt_seconds
1,65536,1.000e-05,10.7116,10.7165,10.7131,2.6,0.2
100,6553600,1.000e-03,7.4807,6.8599,5.8363,92.7,9.9
200,13107200,2.000e-03,5.4245,6.2172,5.0854,184.7,19.6
300,19660800,2.000e-03,4.8683,5.7757,4.7065,276.9,29.4
400,26214400,2.000e-03,4.5990,5.2953,4.4763,368.9,39.1
500,32768000,2.000e-03,4.3455,4.8493,4.2778,461.0,48.8
600,39321600,2.000e-03,4.1960,4.6396,4.1761,553.2,58.6
700,45875200,2.000e-03,4.1274,4.5624,4.1018,645.4,68.3
800,52428800,2.000e-03,4.0332,4.4446,4.0416,737.4,78.1
900,58982400,2.000e-03,3.9860,4.3665,3.9965,829.8,87.8
1000,65536000,2.000e-03,3.9458,4.3176,3.9547,921.9,97.6
1100,72089600,2.000e-03,3.9100,4.2778,3.9284,1014.1,107.3
1200,78643200,2.000e-03,3.8697,4.2497,3.8998,1106.2,117.1
1300,85196800,2.000e-03,3.8694,4.1945,3.8726,1198.4,126.8
1400,91750400,2.000e-03,3.8332,4.1864,3.8472,1290.6,136.5
1500,98304000,2.000e-03,3.8195,4.1513,3.8318,1382.7,146.3
1600,104857600,2.000e-03,3.7968,4.1377,3.8131,1474.9,156.0
1700,111411200,1.505e-03,3.7704,4.0671,3.7669,1567.0,165.7
1800,117964800,1.005e-03,3.7082,4.0094,3.7155,1659.1,175.5
1900,124518400,5.050e-04,3.6853,3.9571,3.6683,1751.2,185.2
2000,131072000,5.000e-06,3.6177,3.9009,3.6112,1846.5,195.0
