step,tokens,lr,train_loss,eval_mix,eval_indist,seconds,opt_seconds
1,65536,1.000e-05,10.7438,10.7354,10.7457,3.6,0.5
100,6553600,1.000e-03,7.5208,6.9122,5.8527,107.2,11.5
200,13107200,2.000e-03,5.4630,6.2438,5.1447,217.9,26.4
300,19660800,2.000e-03,4.9457,5.8789,4.8030,330.2,41.0
400,26214400,2.000e-03,4.6982,5.6448,4.6118,442.1,55.8
500,32768000,2.000e-03,4.5465,5.4101,4.4869,553.0,69.0
600,39321600,2.000e-03,4.4142,5.1736,4.3791,664.3,82.8
700,45875200,2.000e-03,4.3000,4.9551,4.2668,774.7,95.5
800,52428800,2.000e-03,4.2009,4.7814,4.1924,886.0,110.0
900,58982400,2.000e-03,4.1260,4.6692,4.1285,997.5,124.8
1000,65536000,2.000e-03,4.0710,4.5558,4.0790,1107.5,137.5
1100,72089600,2.000e-03,4.0291,4.4765,4.0274,1217.0,149.6
1200,78643200,2.000e-03,3.9860,4.4332,3.9908,1327.9,162.3
1300,85196800,2.000e-03,3.9439,4.3722,3.9625,1440.6,177.0
1400,91750400,2.000e-03,3.9141,4.3204,3.9317,1552.1,190.5
1500,98304000,2.000e-03,3.8905,4.2641,3.9073,1663.8,204.2
1600,104857600,2.000e-03,3.8698,4.2309,3.8810,1775.4,218.1
1700,111411200,1.505e-03,3.8362,4.1727,3.8379,1888.4,232.6
1800,117964800,1.005e-03,3.7859,4.1270,3.7947,2000.9,246.7
1900,124518400,5.050e-04,3.7414,4.0798,3.7575,2112.1,259.9
2000,131072000,5.000e-06,3.7069,4.0354,3.7031,2226.9,272.2
