step,tokens,lr,train_loss,eval_mix,eval_indist,seconds,opt_seconds
1,65536,7.500e-07,10.7438,10.7337,10.7430,2.7,0.1
100,6553600,7.500e-05,9.1382,8.2037,7.7396,89.8,5.8
200,13107200,1.500e-04,6.9132,7.3501,6.3462,178.4,11.1
300,19660800,1.500e-04,6.0228,6.8425,5.7836,267.1,16.2
400,26214400,1.500e-04,5.5918,6.5509,5.4541,356.2,21.7
500,32768000,1.500e-04,5.3086,6.2766,5.2087,447.1,28.1
600,39321600,1.500e-04,5.0859,6.1214,5.0266,537.6,34.0
700,45875200,1.500e-04,4.9343,5.9514,4.8744,628.6,40.3
800,52428800,1.500e-04,4.7962,5.7956,4.7504,717.3,45.4
900,58982400,1.500e-04,4.6784,5.6781,4.6421,807.3,51.3
1000,65536000,1.500e-04,4.5801,5.5599,4.5485,897.9,57.5
1100,72089600,1.500e-04,4.5027,5.4466,4.4655,988.2,63.7
1200,78643200,1.500e-04,4.4196,5.3350,4.3953,1078.7,69.8
1300,85196800,1.500e-04,4.3396,5.1859,4.3256,1168.8,75.5
1400,91750400,1.500e-04,4.2713,5.0593,4.2570,1260.8,82.6
1500,98304000,1.500e-04,4.2058,4.8888,4.1887,1353.4,89.5
1600,104857600,1.500e-04,4.1399,4.7700,4.1320,1445.1,96.0
1700,111411200,1.129e-04,4.0752,4.6390,4.0672,1534.2,101.3
1800,117964800,7.537e-05,4.0111,4.5353,4.0144,1623.5,106.9
1900,124518400,3.787e-05,3.9582,4.4794,3.9712,1713.5,113.0
2000,131072000,3.750e-07,3.9233,4.4387,3.9207,1808.3,119.8
