step,tokens,lr,train_loss,eval_mix,eval_indist,seconds,opt_seconds
1,65536,4.000e-05,10.7438,10.7227,10.7286,2.6,0.2
100,6553600,4.000e-03,6.7398,6.6866,5.5705,92.4,10.1
200,13107200,8.000e-03,5.2670,6.1249,5.0576,184.6,20.0
300,19660800,8.000e-03,4.8812,5.7058,4.7209,277.8,30.9
400,26214400,8.000e-03,4.5434,5.0059,4.4151,369.6,40.2
500,32768000,8.000e-03,4.2964,4.7030,4.2564,460.8,48.7
600,39321600,8.000e-03,4.1691,4.5771,4.1734,552.6,58.1
700,45875200,8.000e-03,4.0975,4.4813,4.1051,646.1,68.8
800,52428800,8.000e-03,4.0453,4.4030,4.0603,738.5,78.5
900,58982400,8.000e-03,3.9993,4.3614,4.0195,831.3,88.7
1000,65536000,8.000e-03,3.9676,4.3293,3.9867,926.4,100.0
1100,72089600,8.000e-03,3.9442,4.2860,3.9537,1027.0,116.1
1200,78643200,8.000e-03,3.9153,4.2564,3.9312,1127.3,131.9
1300,85196800,8.000e-03,3.8861,4.2110,3.9140,1229.0,148.2
1400,91750400,8.000e-03,3.8668,4.1931,3.8917,1329.7,163.3
1500,98304000,8.000e-03,3.8549,4.1729,3.8775,1430.6,179.0
1600,104857600,8.000e-03,3.8436,4.1623,3.8605,1530.6,193.7
1700,111411200,6.020e-03,3.8104,4.0914,3.8026,1630.3,208.7
1800,117964800,4.020e-03,3.7395,4.0026,3.7358,1729.8,223.7
1900,124518400,2.020e-03,3.6690,3.9330,3.6673,1830.6,239.1
2000,131072000,2.000e-05,3.6074,3.8535,3.5929,1935.6,255.2
