step,tokens,lr,train_loss,eval_mix,eval_indist,seconds,opt_seconds
1,65536,1.000e-05,10.7453,10.6500,10.6063,2.8,0.2
100,6553600,1.000e-03,7.3185,7.0664,5.9741,87.4,6.3
200,13107200,2.000e-03,5.6064,6.6253,5.4053,173.7,12.8
300,19660800,2.000e-03,5.1790,6.1922,5.0129,260.3,18.5
400,26214400,2.000e-03,4.8753,5.8614,4.7756,349.1,23.9
500,32768000,2.000e-03,4.6826,5.5565,4.6089,437.8,29.6
600,39321600,2.000e-03,4.5007,5.1844,4.4384,525.9,34.8
700,45875200,2.000e-03,4.3741,4.9936,4.3273,613.6,39.8
800,52428800,2.000e-03,4.2623,4.8468,4.2603,702.2,44.9
900,58982400,2.000e-03,4.2066,4.7328,4.1895,790.5,49.8
1000,65536000,2.000e-03,4.1309,4.6779,4.1399,878.5,55.0
1100,72089600,2.000e-03,4.0993,4.5901,4.0996,967.2,60.3
1200,78643200,2.000e-03,4.0534,4.6005,4.0663,1057.5,67.0
1300,85196800,2.000e-03,4.0046,4.4858,4.0306,1149.0,74.1
1400,91750400,2.000e-03,3.9883,4.4537,3.9943,1238.8,80.5
1500,98304000,2.000e-03,3.9497,4.3766,3.9702,1328.6,86.8
1600,104857600,2.000e-03,3.9287,4.3390,3.9517,1419.5,92.9
1700,111411200,2.000e-03,3.9124,4.3359,3.9263,1509.1,99.0
1800,117964800,2.000e-03,3.8834,4.2921,3.9029,1598.5,105.1
1900,124518400,2.000e-03,3.8750,4.2942,3.8898,1689.4,112.1
2000,131072000,2.000e-03,3.8526,4.2439,3.8690,1780.4,119.0
2100,137625600,2.000e-03,3.8234,4.2288,3.8564,1870.9,125.6
2200,144179200,2.000e-03,3.8230,4.2202,3.8453,1960.7,131.8
2300,150732800,2.000e-03,3.8113,4.1763,3.8300,2050.2,137.1
2400,157286400,2.000e-03,3.7966,4.1501,3.8187,2139.0,142.7
2500,163840000,2.000e-03,3.7773,4.1638,3.8042,2229.4,149.2
2600,170393600,2.000e-03,3.7684,4.1479,3.7943,2319.9,155.8
2700,176947200,2.000e-03,3.7746,4.1195,3.7855,2410.8,162.5
2800,183500800,2.000e-03,3.7422,4.1093,3.7765,2501.7,169.1
2900,190054400,2.000e-03,3.7429,4.1056,3.7646,2591.6,175.4
3000,196608000,2.000e-03,3.7426,4.0729,3.7581,2682.2,182.4
3100,203161600,2.000e-03,3.7185,4.0760,3.7530,2773.0,189.3
3200,209715200,2.000e-03,3.7257,4.0675,3.7437,2862.8,195.3
3300,216268800,1.752e-03,3.6953,4.0190,3.7183,2954.6,202.2
3400,222822400,1.502e-03,3.6778,3.9955,3.6922,3045.2,208.7
3500,229376000,1.252e-03,3.6401,3.9642,3.6632,3136.3,215.3
3600,235929600,1.002e-03,3.6174,3.9274,3.6336,3227.1,221.9
3700,242483200,7.525e-04,3.5982,3.8977,3.6067,3317.9,228.6
3800,249036800,5.025e-04,3.5672,3.8692,3.5801,3408.0,235.2
3900,255590400,2.525e-04,3.5411,3.8379,3.5570,3499.0,241.8
4000,262144000,2.500e-06,3.5173,3.8068,3.5130,3592.2,247.6
