step,tokens,lr,train_loss,eval_mix,eval_indist,seconds,opt_seconds
1,65536,1.000e-05,10.7453,10.7321,10.7253,2.8,0.3
100,6553600,1.000e-03,7.4715,6.8817,5.8492,99.9,16.4
200,13107200,2.000e-03,5.4088,6.2287,5.0942,199.3,31.9
300,19660800,2.000e-03,4.8912,5.7880,4.7271,299.5,48.3
400,26214400,2.000e-03,4.5974,5.4162,4.5030,400.1,64.4
500,32768000,2.000e-03,4.3713,4.9014,4.2979,498.0,78.4
600,39321600,2.000e-03,4.2032,4.6605,4.1803,596.2,92.7
700,45875200,2.000e-03,4.1238,4.5400,4.1033,696.7,109.5
800,52428800,2.000e-03,4.0428,4.4355,4.0449,796.2,124.8
900,58982400,2.000e-03,3.9989,4.3505,3.9943,895.7,140.3
1000,65536000,2.000e-03,3.9398,4.3175,3.9518,994.5,155.2
1100,72089600,2.000e-03,3.9212,4.2646,3.9241,1091.8,168.7
1200,78643200,2.000e-03,3.8855,4.2403,3.8928,1188.2,181.7
1300,85196800,2.000e-03,3.8417,4.2064,3.8718,1285.8,195.8
1400,91750400,2.000e-03,3.8334,4.1755,3.8437,1384.4,210.7
1500,98304000,2.000e-03,3.8033,4.1425,3.8282,1483.7,226.1
1600,104857600,2.000e-03,3.7860,4.1065,3.8081,1581.4,239.5
1700,111411200,2.000e-03,3.7732,4.0973,3.7905,1678.9,253.3
1800,117964800,2.000e-03,3.7509,4.0765,3.7762,1776.2,267.0
1900,124518400,2.000e-03,3.7461,4.0645,3.7583,1875.2,282.0
2000,131072000,2.000e-03,3.7281,4.0335,3.7432,1975.6,297.9
2100,137625600,2.000e-03,3.7027,4.0224,3.7290,2071.9,310.4
2200,144179200,2.000e-03,3.7030,4.0060,3.7198,2169.0,324.0
2300,150732800,2.000e-03,3.6956,3.9926,3.7093,2266.8,337.5
2400,157286400,2.000e-03,3.6836,3.9802,3.7043,2365.1,352.1
2500,163840000,2.000e-03,3.6662,3.9712,3.6909,2465.9,368.3
2600,170393600,2.000e-03,3.6599,3.9583,3.6826,2567.1,384.8
2700,176947200,2.000e-03,3.6680,3.9478,3.6738,2666.1,399.6
2800,183500800,2.000e-03,3.6388,3.9422,3.6682,2766.4,415.6
2900,190054400,2.000e-03,3.6398,3.9503,3.6640,2866.1,431.8
3000,196608000,2.000e-03,3.6422,3.9190,3.6564,2964.5,446.3
3100,203161600,2.000e-03,3.6193,3.9150,3.6493,3061.3,459.7
3200,209715200,2.000e-03,3.6277,3.9077,3.6445,3158.8,473.4
3300,216268800,1.752e-03,3.6010,3.8876,3.6240,3257.6,488.3
3400,222822400,1.502e-03,3.5862,3.8523,3.6005,3354.7,501.4
3500,229376000,1.252e-03,3.5523,3.8222,3.5755,3451.7,514.9
3600,235929600,1.002e-03,3.5333,3.8042,3.5496,3552.0,530.8
3700,242483200,7.525e-04,3.5178,3.7690,3.5278,3651.3,545.7
3800,249036800,5.025e-04,3.4904,3.7480,3.5033,3751.0,560.9
3900,255590400,2.525e-04,3.4680,3.7247,3.4855,3850.3,575.9
4000,262144000,2.500e-06,3.4474,3.6861,3.4417,3954.3,592.4
