step,tokens,lr,train_loss,eval_mix,eval_indist,seconds,opt_seconds
1,65536,7.500e-07,10.7453,10.7301,10.7219,3.3,0.2
100,6553600,7.500e-05,9.0731,8.1713,7.6822,103.9,7.0
200,13107200,1.500e-04,6.8801,7.3073,6.3248,206.9,12.9
300,19660800,1.500e-04,5.9976,6.8839,5.7686,310.2,18.2
400,26214400,1.500e-04,5.5725,6.5456,5.4432,414.1,23.5
500,32768000,1.500e-04,5.3002,6.2758,5.2106,517.8,29.7
600,39321600,1.500e-04,5.0976,6.1142,5.0245,622.7,36.2
700,45875200,1.500e-04,4.9472,5.9222,4.8736,726.7,42.0
800,52428800,1.500e-04,4.7979,5.8038,4.7523,830.7,47.7
900,58982400,1.500e-04,4.6916,5.6786,4.6410,934.3,53.1
1000,65536000,1.500e-04,4.5829,5.5828,4.5488,1038.6,59.9
1100,72089600,1.500e-04,4.5101,5.4820,4.4763,1143.5,66.4
1200,78643200,1.500e-04,4.4357,5.3749,4.4059,1246.3,71.4
1300,85196800,1.500e-04,4.3560,5.2647,4.3457,1350.5,77.6
1400,91750400,1.500e-04,4.3099,5.1520,4.2873,1454.2,83.5
1500,98304000,1.500e-04,4.2358,5.0196,4.2277,1558.6,90.1
1600,104857600,1.500e-04,4.1714,4.8717,4.1624,1664.2,97.2
1700,111411200,1.500e-04,4.1190,4.7331,4.1082,1768.2,103.5
1800,117964800,1.500e-04,4.0553,4.6269,4.0619,1873.5,110.1
1900,124518400,1.500e-04,4.0196,4.5349,4.0167,1977.5,116.8
2000,131072000,1.500e-04,3.9738,4.4737,3.9832,2082.0,124.0
2100,137625600,1.500e-04,3.9267,4.3863,3.9516,2185.1,129.3
2200,144179200,1.500e-04,3.9099,4.3539,3.9270,2289.0,134.9
2300,150732800,1.500e-04,3.8882,4.3051,3.9014,2392.8,140.6
2400,157286400,1.500e-04,3.8623,4.2752,3.8837,2497.4,146.4
2500,163840000,1.500e-04,3.8319,4.2326,3.8610,2600.5,151.4
2600,170393600,1.500e-04,3.8176,4.2035,3.8350,2705.4,157.7
2700,176947200,1.500e-04,3.8159,4.1632,3.8214,2810.4,164.0
2800,183500800,1.500e-04,3.7786,4.1491,3.8063,2915.5,170.5
2900,190054400,1.500e-04,3.7718,4.1180,3.7973,3020.1,177.4
3000,196608000,1.500e-04,3.7653,4.0947,3.7830,3124.7,183.6
3100,203161600,1.500e-04,3.7373,4.0771,3.7707,3227.6,189.6
3200,209715200,1.500e-04,3.7393,4.0780,3.7581,3327.9,196.1
3300,216268800,1.314e-04,3.7090,4.0356,3.7394,3425.9,202.0
3400,222822400,1.127e-04,3.6981,4.0050,3.7166,3523.0,208.0
3500,229376000,9.394e-05,3.6668,3.9815,3.6967,3618.8,213.2
3600,235929600,7.519e-05,3.6517,3.9502,3.6751,3714.4,218.8
3700,242483200,5.644e-05,3.6397,3.9147,3.6535,3809.3,223.9
3800,249036800,3.769e-05,3.6159,3.8935,3.6337,3904.6,229.4
3900,255590400,1.894e-05,3.5976,3.8750,3.6185,4000.5,235.4
4000,262144000,1.875e-07,3.5792,3.8353,3.5788,4101.0,242.2
