step,tokens,lr,train_loss,eval_mix,eval_indist,seconds,opt_seconds
1,65536,4.000e-05,10.7453,10.7183,10.7064,3.0,0.5
100,6553600,4.000e-03,6.7110,6.6737,5.5331,102.7,12.9
200,13107200,8.000e-03,5.2445,6.1944,5.0422,208.2,25.2
300,19660800,8.000e-03,4.8802,5.7410,4.7162,315.4,36.0
400,26214400,8.000e-03,4.5499,5.0601,4.4199,423.7,46.5
500,32768000,8.000e-03,4.2985,4.7295,4.2671,532.5,57.7
600,39321600,8.000e-03,4.1781,4.5641,4.1713,641.8,68.5
700,45875200,8.000e-03,4.1126,4.4774,4.0987,751.6,79.5
800,52428800,8.000e-03,4.0420,4.3979,4.0525,860.2,89.4
900,58982400,8.000e-03,4.0068,4.3306,4.0113,969.6,100.7
1000,65536000,8.000e-03,3.9535,4.2991,3.9751,1081.5,114.3
1100,72089600,8.000e-03,3.9404,4.2482,3.9540,1194.1,128.4
1200,78643200,8.000e-03,3.9111,4.2529,3.9277,1306.1,141.5
1300,85196800,8.000e-03,3.8718,4.2341,3.9059,1417.1,154.3
1400,91750400,8.000e-03,3.8705,4.1953,3.8903,1528.5,167.7
1500,98304000,8.000e-03,3.8456,4.1720,3.8776,1639.1,179.6
1600,104857600,8.000e-03,3.8339,4.1532,3.8661,1751.9,193.8
1700,111411200,8.000e-03,3.8262,4.1469,3.8496,1863.5,206.8
1800,117964800,8.000e-03,3.8089,4.1214,3.8402,1974.2,218.6
1900,124518400,8.000e-03,3.8086,4.1183,3.8281,2084.6,230.9
2000,131072000,8.000e-03,3.7959,4.0980,3.8160,2194.8,243.3
2100,137625600,8.000e-03,3.7756,4.0950,3.8102,2306.9,256.5
2200,144179200,8.000e-03,3.7796,4.0676,3.8044,2418.4,270.3
2300,150732800,8.000e-03,3.7767,4.0653,3.7936,2530.2,283.2
2400,157286400,8.000e-03,3.7689,4.0580,3.7940,2641.9,296.7
2500,163840000,8.000e-03,3.7551,4.0748,3.7836,2753.9,310.4
2600,170393600,8.000e-03,3.7522,4.0599,3.7776,2864.9,322.4
2700,176947200,8.000e-03,3.7641,4.0507,3.7803,2978.3,337.6
2800,183500800,8.000e-03,3.7384,4.0377,3.7734,3089.7,350.5
2900,190054400,8.000e-03,3.7426,4.0392,3.7739,3202.0,364.7
3000,196608000,8.000e-03,3.7487,4.0254,3.7671,3314.6,378.9
3100,203161600,8.000e-03,3.7275,4.0326,3.7664,3425.9,391.7
3200,209715200,8.000e-03,3.7394,4.0288,3.7623,3537.0,404.4
3300,216268800,7.010e-03,3.7107,3.9934,3.7355,3647.2,417.1
3400,222822400,6.010e-03,3.6869,3.9402,3.7016,3759.4,431.1
3500,229376000,5.010e-03,3.6401,3.8935,3.6609,3873.0,445.6
3600,235929600,4.010e-03,3.6094,3.8681,3.6213,3986.3,460.5
3700,242483200,3.010e-03,3.5792,3.8019,3.5843,4098.5,474.0
3800,249036800,2.010e-03,3.5369,3.7708,3.5436,4211.0,487.2
3900,255590400,1.010e-03,3.4973,3.7253,3.5064,4324.1,501.5
4000,262144000,1.000e-05,3.4628,3.6668,3.4520,4440.9,515.3
